name,line,over,under
Moritz Wagner Points + Rebounds + Assists,21.5,-140,-103
Moritz Wagner Points + Assists,12.5,-128,-112
Moritz Wagner Points + Rebounds,17.5,-115,-115
Moritz Wagner Three Points Made,0.5,-145,101
Moritz Wagner Blocks,0.5,246,-402
Moritz Wagner Rebounds + Assists,10.5,105,-151
Moritz Wagner Steals,0.5,138,-202
Moritz Wagner Steals + Blocks,0.5,-126,-114
Moritz Wagner Turnovers,1.5,-160,111
Paolo Banchero Points,20.5,-121.2,-105.6
Paolo Banchero Assists,4.5,130,-165
Paolo Banchero Rebounds,6.5,-6.4,-30.8
Paolo Banchero Points + Rebounds + Assists,31.5,-6,-119.5
Paolo Banchero Points + Assists,25.5,-115,-115
Paolo Banchero Points + Rebounds,25.5,-106,-136
Paolo Banchero Rebounds + Assists,10.5,-117.5,-117.5
Paolo Banchero Three Points Made,1.5,61,-100
Paolo Banchero Steals + Blocks,1.5,-242,162
Paolo Banchero Blocks,0.5,144,-212
Paolo Banchero Steals,1.5,-107,-134
Paolo Banchero Turnovers,3.5,-128,-112
Romeo Langford Three Points Made,0.5,440,-950
Romeo Langford Turnovers,0.5,291,-502
Stanley Johnson Three Points Made,0.5,321,-577
Stanley Johnson Turnovers,0.5,258,-427
Terrence Ross Three Points Made,0.5,103,-148
Terrence Ross Turnovers,1.5,184,-282
Tre Jones Assists,5.5,-151.6666667,120.3333333
Tre Jones Points,12.5,-105,-122.2
Tre Jones Steals + Blocks,1.5,-222,150
Tre Jones Rebounds,3.5,-22.2,-125
Tre Jones Points + Rebounds + Assists,22.5,101.6666667,-129.6666667
Tre Jones Points + Assists,18.5,-105,-125
Tre Jones Points + Rebounds,15.5,-120,-110
Tre Jones Rebounds + Assists,9.5,-115,-115
Tre Jones Three Points Made,1.5,122,-177
Tre Jones Blocks,0.5,539,-1400
Tre Jones Steals,1.5,-182,125
Tre Jones Turnovers,4.5,122,-177
Wendell Carter Rebounds,5.5,-142,116
Wendell Carter Points,10.5,-110,-115
Wendell Carter Points + Rebounds,17.5,105,-135
Wendell Carter Jr. Points,10.5,107,-154
Wendell Carter Jr. Rebounds,5.5,-130,-110
Wendell Carter Jr. Points + Rebounds + Assists,17.5,103,-148
Wendell Carter Jr. Points + Assists,11.5,-106,-136
Wendell Carter Jr. Points + Rebounds,15.5,-145,101
Wendell Carter Jr. Rebounds + Assists,6.5,-145,101
Wendell Carter Jr. Three Points Made,0.5,117,-169
Wendell Carter Jr. Turnovers,1.5,-124,-116
Zach Collins Points,7.5,-119.5,-106.5
Zach Collins Rebounds,6.5,122,-177
Zach Collins Points + Rebounds + Assists,17.5,101,-145
Zach Collins Points + Rebounds,14.5,-140,-103
Zach Collins Rebounds + Assists,8.5,-112,-128
Zach Collins Three Points Made,0.5,246,-402
Zach Collins Turnovers,0.5,-197,134
Al Horford Points,8.5,-109.3333333,-118
Al Horford Rebounds,6.5,-116.8,-31.6
Al Horford Assists,2.5,-139.4285714,48.85714286
Al Horford Points + Rebounds + Assists,17.5,-125,100
Al Horford Points + Rebounds,12.5,-148,103
Al Horford Points + Assists,9.5,-151,105
Al Horford Rebounds + Assists,9.5,-115,-115
Al Horford Three Points Made,1.5,-140.8,68.4
Al Horford Blocks,1.5,-114,-126
Al Horford Steals,0.5,-112,-128
Al Horford Steals + Blocks,2.5,128,-187
Al Horford Turnovers,0.5,-120,-120
Anthony Edwards Points,23.5,-112.8,-114
Anthony Edwards Rebounds,5.5,-128,60.4
Anthony Edwards Assists,4.5,39.28571429,-127.8571429
Anthony Edwards Points + Rebounds + Assists,33.5,-121,-105
Anthony Edwards Points + Rebounds,26.5,-120,-120
Anthony Edwards Points + Assists,26.5,-112,-128
Anthony Edwards Rebounds + Assists,9.5,-120,-120
Anthony Edwards Three Points Made,2.5,122.5,-155.5
Anthony Edwards Blocks,1.5,107,-154
Anthony Edwards Steals,1.5,122,-177
Anthony Edwards Steals + Blocks,2.5,-163,113
Anthony Edwards Turnovers,2.5,-136,-106
Austin Rivers Points,9.5,-122.5,-113
Austin Rivers Rebounds,2.5,-122,-118
Austin Rivers Assists,1.5,-110,-130
Austin Rivers Points + Rebounds + Assists,13.5,-132,-109
Austin Rivers Points + Rebounds,12.5,-101,-142
Austin Rivers Points + Assists,11.5,103,-148
Austin Rivers Rebounds + Assists,4.5,117,-169
Austin Rivers Three Points Made,1.5,128,-187
Austin Rivers Blocks,0.5,453,-1000
Austin Rivers Steals,0.5,-182,125
Austin Rivers Steals + Blocks,0.5,-222,150
Austin Rivers Turnovers,0.5,-192,131
Bryn Forbes Three Points Made,0.5,-138,-104
Bryn Forbes Turnovers,0.5,-107,-134
D'Angelo Russell Points,17.5,-108.6,-119
D'Angelo Russell Rebounds,2.5,-157.6,123.4
D'Angelo Russell Assists,5.5,-136,107
D'Angelo Russell Points + Rebounds + Assists,26.5,-107.8,-119.4
D'Angelo Russell Points + Rebounds,26.5,-132,-109
D'Angelo Russell Points + Assists,29.5,-128,-112
D'Angelo Russell Rebounds + Assists,9.5,-105,-125
D'Angelo Russell Three Points Made,2.5,73,-109.8
D'Angelo Russell Blocks,1.5,184,-282
D'Angelo Russell Steals,0.5,-202,138
D'Angelo Russell Steals + Blocks,2.5,125,-182
D'Angelo Russell Turnovers,2.5,105,-151
Derrick White Points,12.5,-129,-8
Derrick White Rebounds,4.5,138,-202
Derrick White Assists,1.5,-202,138
Derrick White Points + Rebounds + Assists,18.5,-138,-104
Derrick White Points + Rebounds,16.5,-134,-107
Derrick White Points + Assists,14.5,-128,-112
Derrick White Rebounds + Assists,6.5,113,-163
Derrick White Three Points Made,0.5,-252,167
Derrick White Blocks,0.5,173,-262
Derrick White Steals,0.5,-106,-136
Derrick White Steals + Blocks,0.5,-202,138
Derrick White Turnovers,0.5,-154,107
Grant Williams Rebounds,3.5,-177,122
Grant Williams Points + Rebounds + Assists,13.5,-107,-134
Grant Williams Points + Rebounds,11.5,-148,103
Grant Williams Rebounds + Assists,5.5,-104,-138
Grant Williams Three Points Made,1.5,119,-172
Grant Williams Turnovers,0.5,-160,111
Grant Williams Points,7.5,-124.5,-1.5
Jaden McDaniels Points,10.5,-69.66666667,-127
Jaden McDaniels Rebounds,3.5,-132.4,-16.8
Jaden McDaniels Assists,1.5,150,-222
Jaden McDaniels Points + Rebounds + Assists,16.5,-118,-122
Jaden McDaniels Points + Rebounds,14.5,105,-135
Jaden McDaniels Points + Assists,11.5,-112,-128
Jaden McDaniels Rebounds + Assists,6.5,107,-154
Jaden McDaniels Three Points Made,0.5,-222,150
Jaden McDaniels Blocks,0.5,-182,125
Jaden McDaniels Steals,0.5,-148,103
Jaden McDaniels Steals + Blocks,1.5,-132,-109
Jaden McDaniels Turnovers,1.5,156,-232
Jaylen Brown Points,25.5,-114.8571429,-113.7142857
Jaylen Brown Rebounds,6.5,-137.8,108.2
Jaylen Brown Assists,3.5,-132.2857143,-42.85714286
Jaylen Brown Points + Rebounds + Assists,36.5,-109.8,-117
Jaylen Brown Points + Rebounds,32.5,-120,-110
Jaylen Brown Points + Assists,29.5,-113.5,-121.5
Jaylen Brown Rebounds + Assists,9.5,-140,-103
Jaylen Brown Three Points Made,2.5,-117.5,-108
Jaylen Brown Blocks,0.5,211,-332
Jaylen Brown Steals,0.5,-187,128
Jaylen Brown Steals + Blocks,1.5,144,-212
Jaylen Brown Turnovers,2.5,107,-154
Jaylen Nowell Points,12.5,-128,-104
Jaylen Nowell Points + Rebounds + Assists,17.5,-145,101
Jaylen Nowell Points + Rebounds,16.5,-100,-130
Jaylen Nowell Points + Assists,14.5,-140,-103
Jaylen Nowell Rebounds + Assists,5.5,111,-160
Jaylen Nowell Three Points Made,0.5,-222,150
Jaylen Nowell Turnovers,1.5,117,-169
Jaylen Nowell Rebounds,3.5,127.5,-160
Jayson Tatum Points,29.5,-123,-105
Jayson Tatum Rebounds,7.5,-132.6,61.2
Jayson Tatum Assists,4.5,109.4,-139
Jayson Tatum Points + Rebounds + Assists,42.5,-111.6666667,-115
Jayson Tatum Points + Rebounds,35.5,-109,-132
Jayson Tatum Points + Assists,32.5,-128,-112
Jayson Tatum Rebounds + Assists,12.5,-105,-125
Jayson Tatum Three Points Made,3.5,-111.5,-114
Jayson Tatum Blocks,0.5,-107,-134
Jayson Tatum Steals,1.5,-202,138
Jayson Tatum Steals + Blocks,2.5,-109,-132
Jayson Tatum Turnovers,3.5,107,-154
Josh Minott Turnovers,0.5,477,-1100
Luka Garza Turnovers,0.5,412,-850
Luke Kornet Three Points Made,0.5,340,-627
Luke Kornet Turnovers,0.5,138,-202
Malcolm Brogdon Points,14.5,-126,-114
Malcolm Brogdon Rebounds,4.5,105,-151
Malcolm Brogdon Assists,4.5,101,-145
Malcolm Brogdon Points + Rebounds + Assists,23.5,-107,-134
Malcolm Brogdon Points + Rebounds,18.5,-132,-109
Malcolm Brogdon Points + Assists,18.5,-142,-101
Malcolm Brogdon Rebounds + Assists,8.5,-126,-114
Malcolm Brogdon Three Points Made,1.5,-172,119
Malcolm Brogdon Turnovers,1.5,-151,105
Marcus Smart Assists,6.5,-139.6,68.4
Marcus Smart Rebounds,3.5,121.6666667,-154.3333333
Marcus Smart Points,12.5,-54,-90.71428571
Marcus Smart Points + Rebounds + Assists,22.5,-112.2,-115.8
Marcus Smart Points + Rebounds,17.5,-134,-107
Marcus Smart Points + Assists,18.5,-124.5,-110.5
